# schemix benchmark results — v0.3.0 with blob type-check fast path
#
# Commit:  90c1c42+ (branch feat/api-surface-p0, uncommitted perf changes)
# Date:    2026-08-30
# Command: go test -run='^$' -bench=. -benchmem -count=6 .
#
# Same flags the CI benchmark gate uses, so this file can be fed straight to
# benchstat against a CI run:
#
#     benchstat bench_v0.3.0.txt bench_head.txt
#
# Six samples per benchmark. Read allocations rather than timings when judging a
# change: on a laptop the ns/op figures move by double digits between runs, while
# the allocation counts are deterministic.
#
# Key changes from the previous snapshot:
#   - checkBlobResultType uses a Go type switch for scalar @blob results
#     instead of CUE Encode+Unify+Validate (Process_Valid: 81 → 17 allocs)
#   - path.go helpers use strings.IndexByte instead of strings.Split
#
# Numbers are not comparable to the pre-optimisation snapshot that carried the
# same filename. The allocation counts dropped by 64 on the hot path.

goos: darwin
goarch: arm64
pkg: github.com/mredencom/schemix
cpu: Apple M4
BenchmarkCUE_ValidateRecursive_Legacy-10    	   46977	     25703 ns/op	   50577 B/op	     476 allocs/op
BenchmarkCUE_ValidateRecursive_Legacy-10    	   46982	     25506 ns/op	   50580 B/op	     476 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3491506	       343.6 ns/op	     360 B/op	      15 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3503553	       342.4 ns/op	     360 B/op	      15 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3492416	       343.7 ns/op	     360 B/op	      15 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3516898	       342.0 ns/op	     360 B/op	      15 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3506473	       341.9 ns/op	     360 B/op	      15 allocs/op
BenchmarkBlob_RulesOnly-10                  	 3487705	       344.2 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1697697	       707.0 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1695336	       707.8 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1698441	       708.4 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1704448	       703.9 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1704930	       704.6 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Process-10     	 1701969	       705.2 ns/op	     696 B/op	      17 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2211489	       541.3 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2220723	       540.8 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2213091	       543.1 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2211456	       543.5 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2201576	       543.6 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy/Validate-10    	 2210779	       543.2 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   47014	     25448 ns/op	   37103 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   46887	     25454 ns/op	   37101 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   46977	     25497 ns/op	   37158 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   46659	     25553 ns/op	   37155 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   46875	     25531 ns/op	   37126 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Process-10         	   47293	     25626 ns/op	   37128 B/op	     382 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   48910	     24519 ns/op	   35353 B/op	     370 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   48832	     24603 ns/op	   35335 B/op	     370 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   48384	     24608 ns/op	   35348 B/op	     370 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   48706	     26027 ns/op	   35564 B/op	     370 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   44676	     26207 ns/op	   35550 B/op	     370 allocs/op
BenchmarkValidate_NoDeepCopy_Nested/Validate-10        	   49034	     24517 ns/op	   35357 B/op	     370 allocs/op
BenchmarkLocalize/simple_template-10                   	24005821	        50.00 ns/op	      48 B/op	       1 allocs/op
BenchmarkLocalize/simple_template-10                   	23928274	        50.02 ns/op	      48 B/op	       1 allocs/op
